識別番号,分野,頻出度,言葉,読み,文章,漢字1,読み1,漢字2,読み2
0,a音読み,A,騒擾,そうじょう,過激派が騒擾を起こした。,騒擾,そうじょう,X,X
1,a音読み,A,嚇怒,かくど,嚇怒した顔で睨みつける。,嚇怒,かくど,X,X
2,a音読み,A,汀渚,ていしょ,汀渚に野鳥が群れている。,汀渚,ていしょ,X,X
3,a音読み,A,這般,しゃはん,這般の状勢により撤退を決定した。,這般,しゃはん,X,X
4,a音読み,A,儲君,ちょくん,儲君として厳格な教育を受ける。,儲君,ちょくん,X,X
5,a音読み,A,誰何,すいか,事件現場の近くで景観に誰何された。,誰何,すいか,X,X
6,a音読み,A,脇息,きょうそく,座布団にすわり脇息で体を支える。,脇息,きょうそく,X,X
7,a音読み,A,弘誓,ぐぜい,菩薩の弘誓は海のように広く深い。,弘誓,ぐぜい,X,X
8,a音読み,A,後胤,こういん,天皇の後胤として大切にされる。,後胤,こういん,X,X
9,a音読み,A,快哉,かいさい,敵陣突破に快哉を叫ぶ。,快哉,かいさい,X,X
10,a音読み,A,鶯遷,おうせん,鶯遷を祝い、宴会を催す。,鶯遷,おうせん,X,X
11,a音読み,A,壺中,こちゅう,壺中の天に遊ぶ。,壺中,こちゅう,X,X
12,a音読み,A,一揖,いちゆう,一揖してその場を去った。,一揖,いちゆう,X,X
13,a音読み,A,危殆,きたい,両国の関係は危殆に瀕している。,危殆,きたい,X,X
14,a音読み,A,紛擾,ふんじょう,些細なことかた紛擾した。,紛擾,ふんじょう,X,X
15,a音読み,A,釜中,ふちゅう,釜中の魚、絶体絶命だ。,釜中,ふちゅう,X,X
16,a音読み,A,上巳,じょうし,上巳は五節句の一つだ。,上巳,じょうし,X,X
17,a音読み,A,井蛙,せいあ,井蛙大海を知らず。,井蛙,せいあ,X,X
18,a音読み,A,穆,ぼく,穆として清風の如き人だ。,穆,ぼく,X,X
19,a音読み,A,杵臼,しょきゅう,身分を越えた杵臼の交わりを持つ。,杵臼,しょきゅう,X,X
20,a音読み,A,灘響,だんきょう,旅の宿で灘響を聞く。,灘響,だんきょう,X,X
21,a音読み,A,貼付,ちょうふ,切手を貼付する。,貼付,ちょうふ,X,X
22,a音読み,A,古諺,こげん,世界の古諺を比較する。,古諺,こげん,X,X
23,a音読み,A,豪宕,ごうとう,豪宕な性格で一目おかれている。,豪宕,ごうとう,X,X
24,a音読み,A,推戴,すいたい,彼を総裁として推戴する。,推戴,すいたい,X,X
25,a音読み,A,怨念,おんねん,積年の怨念を晴らす。,怨念,おんねん,X,X
26,a音読み,A,巽言,そんげん,巽言の重みに感服する。,巽言,そんげん,X,X
27,a音読み,A,烏有,うゆう,火事のため烏有に帰してしまった。,烏有,うゆう,X,X
28,a音読み,A,牝牡,ひんぼ,生まれた子馬の牝牡を確かめる。,牝牡,ひんぼ,X,X
29,a音読み,A,謬言,びゅうげん,謬言を恥じて口をつぐむ。,謬言,びゅうげん,X,X
30,a音読み,A,俗諺,ぞくげん,地域の俗諺を調べる。,俗諺,ぞくげん,X,X
31,a音読み,A,雛僧,すうそう,案内役の雛僧。,雛僧,すうそう,X,X
32,a音読み,A,孜孜,しし,孜孜として学問に励む。,孜孜,しし,X,X
33,a音読み,A,慧眼,けいがん,時代を見抜く慧眼で危機を乗り切る。,慧眼,けいがん,X,X
34,a音読み,A,櫛比,しっぴ,この辺りは建物が櫛比している。,櫛比,しっぴ,X,X
35,a音読み,A,稗史,はいし,土地の稗史に興味がある。,稗史,はいし,X,X
36,a音読み,A,膝下,しっか,未だ父母の膝下に留まる。,膝下,しっか,X,X
37,a音読み,A,紐帯,ちゅうたい,同盟の紐帯となる条約を結ぶ。,紐帯,ちゅうたい,X,X
38,a音読み,A,禰宜,ねぎ,禰宜は神主の下に位する。,禰宜,ねぎ,X,X
39,a音読み,A,弥縫,びほう,仕事での失敗を弥縫する。,弥縫,びほう,X,X
40,a音読み,A,廠舎,しょうしゃ,演習用に廠舎が仮設される。,廠舎,しょうしゃ,X,X
41,a音読み,A,祁寒,きかん,祁寒でも子供たちは元気だ。,祁寒,きかん,X,X
42,a音読み,A,郁郁,いくいく,郁郁たる梅花に時を忘れる。,郁郁,いくいく,X,X
43,a音読み,A,翠嵐,すいらん,翠嵐のなかを歩く。,翠嵐,すいらん,X,X
44,a音読み,A,穆穆,ぼくぼく,穆穆たる天子に仕える。,穆穆,ぼくぼく,X,X
45,a音読み,A,熊胆,ゆうたん,熊胆は胃薬などとして珍重される。,熊胆,ゆうたん,X,X
46,a音読み,A,爾汝,じじょ,彼とは爾汝の間柄だ。,爾汝,じじょ,X,X
47,a音読み,A,頸椎,けいつい,サッカーで頸椎を損傷する。,頸椎,けいつい,X,X
48,a音読み,A,暴戻,ぼうれい,暴戻な領主に抗議する。,暴戻,ぼうれい,X,X
49,a音読み,A,罫紙,けいし,花の描かれた罫紙を購入する。,罫紙,けいし,X,X
50,a音読み,A,蔚蔚,うつうつ,蔚蔚たる原始林が広がる。,蔚蔚,うつうつ,X,X
51,a音読み,A,抹消,まっしょう,抹消にとらわれて本質を忘れる。,抹消,まっしょう,X,X
52,a音読み,A,碩学,せきがく,宇宙工学の碩学として有名だ。,碩学,せきがく,X,X
53,a音読み,A,払拭,ふっしょく,政治家の疑惑が払拭できない。,払拭,ふっしょく,X,X
54,a音読み,A,晦渋,かいじゅう,晦渋な文章を読み下す。,晦渋,かいじゅう,X,X
55,a音読み,A,夙夜,しゅくや,夙夜、仕事に勤しむ。,夙夜,しゅくや,X,X
56,a音読み,A,翠黛,すいたい,翠黛の山に絵筆をとる。,翠黛,すいたい,X,X
57,a音読み,A,馴化,じゅんか,植物が土地に馴化していく。,馴化,じゅんか,X,X
58,a音読み,A,造詣,ぞうけい,文化人類学に造詣が深い。,造詣,ぞうけい,X,X
59,a音読み,A,補綴,ほてい,古句を補綴し詩文を作る。,補綴,ほてい,X,X
60,a音読み,A,枕頭,ちんとう,父の枕頭にはいつも本がある。,枕頭,ちんとう,X,X
61,a音読み,A,厨子,ずし,堂内の厨子に秘仏を安置する。,厨子,ずし,X,X
62,a音読み,A,無碍,むげ,融通無碍の境地に達する。,無碍,むげ,X,X
63,a音読み,A,亥月,がいげつ,亥月を迎えて紅葉が見頃だ。,亥月,がいげつ,X,X
64,a音読み,A,艶冶,えんや,舞台で艶冶な舞いを披露する。,艶冶,えんや,X,X
65,a音読み,A,蓑笠,さりゅう,吹雪の中、蓑笠の翁に出会った。,蓑笠,さりゅう,X,X
66,a音読み,A,亀卜,きぼく,古代中国では亀卜で占った。,亀卜,きぼく,X,X
67,a音読み,A,痩?,そうく,長身痩?でモデルのようだ。,痩?,そうく,X,X
68,a音読み,A,徽章,きしょう,徽章を胸につける。,徽章,きしょう,X,X
69,a音読み,A,?脱,せんだつ,?脱の境地に達する。,?脱,せんだつ,X,X
70,a音読み,A,犀利,さいり,犀利な筆致でぐいぐい読ませる。,犀利,さいり,X,X
71,a音読み,A,?職,とくしょく,助役が?職で捕まった。,?職,とくしょく,X,X
72,a音読み,A,捺印,なついん,互いに署名捺印する。,捺印,なついん,X,X
73,a音読み,A,桐油,とうゆ,番傘には桐油を使う。,桐油,とうゆ,X,X
74,a音読み,A,挽歌,ばんか,死を悼み挽歌を送る。,挽歌,ばんか,X,X
75,a音読み,A,爪牙,そうが,猛獣が爪牙を向けて獲物に迫る。,爪牙,そうが,X,X
76,a音読み,A,熊掌,ゆうしょう,熊掌は中国で美味の象徴とされている。,熊掌,ゆうしょう,X,X
77,a音読み,A,口吻,こうふん,激しい口吻でなじられた。,口吻,こうふん,X,X
78,a音読み,A,椿事,ちんじ,正月から椿事が起こる。,椿事,ちんじ,X,X
79,a音読み,A,尤物,ゆうぶつ,彼はなかなかの尤物だ。,尤物,ゆうぶつ,X,X
80,a音読み,A,禾穀,かこく,禾穀の豊かな土地で生活する。,禾穀,かこく,X,X
81,a音読み,A,厩舎,きゅうしゃ,厩舎からいななきが聞こえる。,厩舎,きゅうしゃ,X,X
82,a音読み,A,乃公,だいこう,乃公とは自分のことを指す。,乃公,だいこう,X,X
83,a音読み,A,堰堤,えんてい,堰堤を設けて川の水位を調整する。,堰堤,えんてい,X,X
84,a音読み,A,錫杖,しゃくじょう,僧侶が錫杖を鳴らす。,錫杖,しゃくじょう,X,X
85,a音読み,A,欽慕,きんぼ,先生に欽慕の情を抱く。,欽慕,きんぼ,X,X
86,a音読み,A,彼此,ひし,彼此の別について論議する。,彼此,ひし,X,X
87,a音読み,A,暢達,ちょうたつ,人柄が表れた暢達な筆跡だ。,暢達,ちょうたつ,X,X
88,a音読み,A,杏林,きょうりん,杏林とは医者の美称だ。,杏林,きょうりん,X,X
89,a音読み,A,併?,へいどん,内紛に乗じて隣国を併?する。,併?,へいどん,X,X
90,a音読み,A,頓挫,とんざ,資金不足で計画は頓挫した。,頓挫,とんざ,X,X
91,a音読み,A,些事,さじ,些事にこだわると大局を見失う。,些事,さじ,X,X
92,a音読み,A,卿相,けいしょう,昔、高官は卿相と呼ばれていた。,卿相,けいしょう,X,X
93,a音読み,A,都邑,とゆう,ヨーロッパの古き都邑を訪ねる。,都邑,とゆう,X,X
94,a音読み,A,喋喋,ちょうちょう,純文学について喋喋と論じた。,喋喋,ちょうちょう,X,X
95,a音読み,A,鉄桶,てっとう,鉄桶の防備でつけいるすきがない。,鉄桶,てっとう,X,X
96,a音読み,A,仇怨,きゅうえん,積年の仇怨を晴らす時が来た。,仇怨,きゅうえん,X,X
97,a音読み,A,鬱散,うっさん,鬱散に酒でも飲まないか。,鬱散,うっさん,X,X
98,a音読み,A,優渥,ゆうあく,王より優渥なる処遇を受ける。,優渥,ゆうあく,X,X
99,a音読み,A,穎脱,えいだつ,幼少の頃より穎脱した神童だった。,穎脱,えいだつ,X,X
100,a音読み,A,領袖,りょうしゅう,政党の領袖となる。,領袖,りょうしゅう,X,X
101,a音読み,A,賞牌,しょうはい,優勝者に賞牌を授与する。,賞牌,しょうはい,X,X
102,a音読み,A,倭訓,わくん,古代の漢籍に倭訓を付ける。,倭訓,わくん,X,X
103,a音読み,A,蒐集,しゅうしゅう,珍しい世界の切手を蒐集する。,蒐集,しゅうしゅう,X,X
104,a音読み,A,桑梓,そうし,功名を立てて桑梓の地に帰る。,桑梓,そうし,X,X
105,a音読み,A,肴核,こうかく,肴核既に尽きて杯盤狼ぜきたり。,肴核,こうかく,X,X
106,a音読み,A,輔弼,ほひつ,天皇の輔弼として政治を助ける。,輔弼,ほひつ,X,X
107,a音読み,A,匡正,きょうせい,綱紀の匡正を行う。,匡正,きょうせい,X,X
108,a音読み,A,姪孫,てっそん,遠方で暮らす姪孫に文を送る。,姪孫,てっそん,X,X
109,a音読み,A,弓箭,きゅうせん,弓箭の出を鼻にかける。,弓箭,きゅうせん,X,X
110,a音読み,A,頁岩,けつがん,頁岩は泥土が積み重なってできた。,頁岩,けつがん,X,X
111,a音読み,A,九皐,きゅうこう,鶴九皐に鳴き、声、天に聞こゆ。,九皐,きゅうこう,X,X
112,a音読み,A,萱堂,けんどう,萱堂には大変お世話になりました。,萱堂,けんどう,X,X
113,a音読み,A,岡阜,こうふ,岡阜に登って町を眺める。,岡阜,こうふ,X,X
114,a音読み,A,瞳孔,どうこう,ショックで瞳孔が開いた。,瞳孔,どうこう,X,X
115,a音読み,A,禾穂,かすい,稲の禾穂を調べる。,禾穂,かすい,X,X
116,a音読み,A,掻頭,そうとう,初対面で照れくさそうに掻頭する。,掻頭,そうとう,X,X
117,a音読み,A,赫灼,かくしゃく,赫灼たる太陽の光を浴びる。,赫灼,かくしゃく,X,X
118,a音読み,A,茅屋,ぼうおく,茅屋に招いて酒を酌み交わす。,茅屋,ぼうおく,X,X
119,a音読み,A,矛戟,ぼうげき,万死を矛戟の下に免るることを得たり。,矛戟,ぼうげき,X,X
120,a音読み,A,盤桓,ばんかん,終日盤桓して名刹の風景を楽しむ。,盤桓,ばんかん,X,X
121,a音読み,A,馨香,けいこう,人民が徳治の馨香をたたえる。,馨香,けいこう,X,X
122,a音読み,A,世諺,せいげん,日本の古い世諺を調べる。,世諺,せいげん,X,X
123,a音読み,A,瑠璃,るり,瑠璃色に光る宝石に魅せられる。,瑠璃,るり,X,X
124,a音読み,A,捺染,なっせん,伝統的な捺染の技術を伝承する。,捺染,なっせん,X,X
125,a音読み,A,曽遊,そうゆう,曽遊の地を再び訪ねる。,曽遊,そうゆう,X,X
126,a音読み,A,芝蘭,しらん,芝蘭の室に入るが如し。,芝蘭,しらん,X,X
127,a音読み,A,衣桁,いこう,衣桁に着物が掛けてある。,衣桁,いこう,X,X
128,a音読み,A,豊頬,ほうきょう,彼女の母は豊頬の美人だ。,豊頬,ほうきょう,X,X
129,a音読み,A,揖譲,ゆうじょう,古代中国の揖譲の礼を学ぶ。,揖譲,ゆうじょう,X,X
130,a音読み,A,妖姫,ようき,この物語の主人公は妖姫だ。,妖姫,ようき,X,X
131,a音読み,A,秤量,しょうりょう,両者の立場を秤量する。,秤量,しょうりょう,X,X
132,a音読み,A,集輯,しゅうしゅう,昔話を集輯する。,集輯,しゅうしゅう,X,X
133,a音読み,A,蒙昧,もうまい,無知蒙昧の輩ほど楽観している。,蒙昧,もうまい,X,X
134,a音読み,A,烹炊,ほうすい,海軍で烹炊班に所属していた。,烹炊,ほうすい,X,X
135,a音読み,A,腔腸,こうちょう,イソギンチャクは腔腸動物。,腔腸,こうちょう,X,X
136,a音読み,A,斌斌,ひんぴん,恩師の斌斌たる人柄が偲ばれる。,斌斌,ひんぴん,X,X
137,a音読み,A,鰐魚,がくぎょ,鰐魚を海の神とする説話がある。,鰐魚,がくぎょ,X,X
138,a音読み,A,諒恕,りょうじょ,ご諒恕のほどお願い申し上げます。,諒恕,りょうじょ,X,X
139,a音読み,A,竪子,じゅし,竪子与に謀るに足らず。,竪子,じゅし,X,X
140,a音読み,A,樗,ちょ,吾に大樹有り、人之を樗と謂う。,樗,ちょ,X,X
141,a音読み,A,象著,ぞうちょ,象著と玉杯を贈られた。,象著,ぞうちょ,X,X
142,a音読み,A,畢生,ひっせい,畢生の大作を書き上げた。,畢生,ひっせい,X,X
143,a音読み,A,霊廟,れいびょう,先祖の霊をまつる霊廟がある。,霊廟,れいびょう,X,X
144,a音読み,A,城砦,じょうさい,四方に城砦を築く。,城砦,じょうさい,X,X
145,a音読み,A,庚申,こうしん,庚申信仰は道教に由来する。,庚申,こうしん,X,X
146,a音読み,A,耽読,たんどく,時間を忘れて推理小説を耽読した。,耽読,たんどく,X,X
147,a音読み,A,粟粒,ぞくりゅう,表面に粟粒大の汚れが付着する。,粟粒,ぞくりゅう,X,X
148,a音読み,A,杜漏,ずろう,杜漏な計画はすぐに破綻する。,杜漏,ずろう,X,X
149,a音読み,A,伽羅,きゃら,香木の質の良いものを伽羅と呼ぶ。,伽羅,きゃら,X,X
150,a音読み,A,云為,うんい,人の云為をいちいちあげつらう。,云為,うんい,X,X
151,a音読み,A,憐察,れんさつ,苦しい事情をご憐察下さい。,憐察,れんさつ,X,X
152,a音読み,A,?苒,じんぜん,?苒として日を送る。,?苒,じんぜん,X,X
153,a音読み,A,柴扉,さいひ,柴扉に暮らしております。,柴扉,さいひ,X,X
154,a音読み,A,屑屑,せつせつ,屑屑として仕事に励む。,屑屑,せつせつ,X,X
155,a音読み,A,椿寿,ちんじゅ,家族で祖母の椿寿を祝った。,椿寿,ちんじゅ,X,X
156,a音読み,A,厩肥,きゅうひ,厩肥を使って作物を育てる。,厩肥,きゅうひ,X,X
157,a音読み,A,嫉妬,しっと,嫉妬は愛情の裏返しだ。,嫉妬,しっと,X,X
158,a音読み,A,袖珍,しゅうちん,袖珍本を携帯する。,袖珍,しゅうちん,X,X
159,a音読み,A,兜巾,ときん,修験者が兜巾をかぶっている。,兜巾,ときん,X,X
160,a音読み,A,佳肴,かこう,佳肴に舌鼓を打つ。,佳肴,かこう,X,X
161,a音読み,A,邑落,ゆうらく,山中にはいくつかの邑落がある。,邑落,ゆうらく,X,X
162,a音読み,A,推挽,すいばん,全会一致で社長に推挽された。,推挽,すいばん,X,X
163,a音読み,A,禾黍,かしょ,禾黍の生長を楽しみにする。,禾黍,かしょ,X,X
164,a音読み,A,允許,いんきょ,帰国の允許をいただいた。,允許,いんきょ,X,X
165,a音読み,A,稲粟,とうぞく,備蓄しておいた稲粟。,稲粟,とうぞく,X,X
166,a音読み,A,尖兵,せんぺい,戦争では尖兵として戦った。,尖兵,せんぺい,X,X
167,a音読み,A,曳航,えいこう,引きあげられた船が曳航される。,曳航,えいこう,X,X
168,a音読み,A,凋落,ちょうらく,彼の凋落ぶりは目を覆うばかりだ。,凋落,ちょうらく,X,X
169,a音読み,A,廟議,びょうぎ,廟議により決定が下された。,廟議,びょうぎ,X,X
170,a音読み,A,朔北,さくほく,中国の朔北の地を訪れる。,朔北,さくほく,X,X
171,a音読み,A,苧麻,ちょま,苧麻の繊維で布を織り縄を作る。,苧麻,ちょま,X,X
172,a音読み,A,禾穎,かえい,一面の禾穎が秋を告げている。,禾穎,かえい,X,X
173,a音読み,A,塵芥,じんかい,塵芥の処理をきちんと行う。,塵芥,じんかい,X,X
174,a音読み,A,卜占,ぼくせん,大王は卜占にて政事を執り行った。,卜占,ぼくせん,X,X
175,a音読み,A,暁闇,ぎょうあん,暁闇をついて旅路に就いた。,暁闇,ぎょうあん,X,X
176,a音読み,A,貼用,ちょうよう,ここに収入印紙を貼用する。,貼用,ちょうよう,X,X
177,a音読み,A,荻花,てきか,荻花の風景に秋を感じる。,荻花,てきか,X,X
178,a音読み,A,甥姪,せいてつ,甥姪が集まり祝ってくれた。,甥姪,せいてつ,X,X
179,a音読み,A,勾欄,こうらん,橋の勾欄に見事な装飾が施されている。,勾欄,こうらん,X,X
180,a音読み,A,棲息,せいそく,その生き物は木の穴に棲息する。,棲息,せいそく,X,X
181,a音読み,A,鍾愛,しょうあい,路傍で拾った子犬を鍾愛する。,鍾愛,しょうあい,X,X
182,a音読み,A,湛然,たんぜん,彼女の湛然とした態度に感心する。,湛然,たんぜん,X,X
183,a音読み,A,叱正,しっせい,師のご叱正を仰いだ。,叱正,しっせい,X,X
184,a音読み,A,凋残,ちょうざん,凋残の姿に切なさをおぼえる。,凋残,ちょうざん,X,X
185,a音読み,A,補?,ほてん,失敗した事業の赤字を補?する。,補?,ほてん,X,X
186,a音読み,A,厭離,おんり,穢れた世界を厭離する。,厭離,おんり,X,X
187,a音読み,A,名諺,めいげん,美しい景色を前に名諺を口ずさむ。,名諺,めいげん,X,X
188,a音読み,A,舌尖,ぜっせん,舌尖鋭く相手に詰め寄る。,舌尖,ぜっせん,X,X
189,a音読み,A,焚刑,ふんけい,敵軍の将は焚刑に処せられた。,焚刑,ふんけい,X,X
190,a音読み,A,蟹行,かいこう,時に蟹行鳥跡に倦みたる眼を移す。,蟹行,かいこう,X,X
191,a音読み,A,沃土,よくど,沃土を耕して作物を作る。,沃土,よくど,X,X
192,a音読み,A,老爺,ろうや,老爺が道具の手入れをしている。,老爺,ろうや,X,X
193,a音読み,A,閏月,じゅんげつ,閏月がある年を調べる。,閏月,じゅんげつ,X,X
194,a音読み,A,遡上,そじょう,秋になると鮭が川を遡上する。,遡上,そじょう,X,X
195,a音読み,A,審訊,しんじん,裁判官が証人に審訊する。,審訊,しんじん,X,X
196,a音読み,A,剣戟,けんげき,両軍相まみえて剣戟を振るう。,剣戟,けんげき,X,X
197,a音読み,A,膝行,しっこう,殿の前に膝行して寄る。,膝行,しっこう,X,X
198,a音読み,A,叩首,こうしゅ,皇帝の前にして神妙に叩首する。,叩首,こうしゅ,X,X
199,a音読み,A,花蕊,かずい,花蕊から柔らかな香りがする。,花蕊,かずい,X,X
200,a音読み,A,耽溺,たんでき,酒や賭け事に耽溺する。,耽溺,たんでき,X,X
201,a音読み,A,押捺,おうなつ,契約書に署名とともに押捺する。,押捺,おうなつ,X,X
202,a音読み,B,葱青,そうせい,葱青の草原で春を感じる。,葱青,そうせい,X,X
203,a音読み,B,翰墨,かんぼく,立派な翰墨で書画を書く。,翰墨,かんぼく,X,X
204,a音読み,B,釜竈,ふそう,山小屋の釜竈を使って飯を炊く。,釜竈,ふそう,X,X
205,a音読み,B,箭頭,せんとう,発掘された箭頭を調査する。,箭頭,せんとう,X,X
206,a音読み,B,鹿茸,ろくじょう,強壮剤として鹿茸を処方する。,鹿茸,ろくじょう,X,X
207,a音読み,B,戎馬,じゅうば,戎馬をそろえて戦闘に臨む。,戎馬,じゅうば,X,X
208,a音読み,B,菱花,りょうか,陳列された菱花鏡を選別する。,菱花,りょうか,X,X
209,a音読み,B,馨逸,けいいつ,檜の名木は馨逸だ。,馨逸,けいいつ,X,X
210,a音読み,B,卦兆,かちょう,卦兆で国が動いた時代があった。,卦兆,かちょう,X,X
211,a音読み,B,僻遠,へきえん,僻遠の地に赴任する。,僻遠,へきえん,X,X
212,a音読み,B,蠣殻,れいかく,出土した蠣殻を分析する。,蠣殻,れいかく,X,X
213,a音読み,B,鴻毛,こうもう,この身の鴻毛より軽くなるを欲す。,鴻毛,こうもう,X,X
214,a音読み,B,三昧,ざんまい,贅沢三昧の生活を送る。,三昧,ざんまい,X,X
215,a音読み,B,蕪辞,ぶじ,蕪辞を連ねてお祝いの言葉とする。,蕪辞,ぶじ,X,X
216,a音読み,B,浮腫,ふしゅ,皮膚がむくみ浮腫ができている。,浮腫,ふしゅ,X,X
217,a音読み,B,悉皆,しっかい,一心に悉皆成仏を唱える。,悉皆,しっかい,X,X
218,a音読み,B,凌駕,りょうが,力が技を凌駕した。,凌駕,りょうが,X,X
219,a音読み,B,正閏,せいじゅん,南北朝は正閏の争いの時代だった。,正閏,せいじゅん,X,X
220,a音読み,B,咽下,えんか,異物を咽下しないように気をつける。,咽下,えんか,X,X
221,a音読み,B,外甥,がいせい,彼は私の外甥だ。,外甥,がいせい,X,X
222,a音読み,B,黛青,たいせい,黛青の山を眺め、春を感じる。,黛青,たいせい,X,X
223,a音読み,B,馴致,じゅんち,仔馬を馴致して競走馬に育てる。,馴致,じゅんち,X,X
224,a音読み,B,豊稔,ほうじん,豊稔を祈願する祭りが催される。,豊稔,ほうじん,X,X
225,a音読み,B,允可,いんか,やっとの思いで允可を得た。,允可,いんか,X,X
226,a音読み,B,波濤,はとう,岩に波濤が押し寄せる。,波濤,はとう,X,X
227,a音読み,B,凄絶,せいぜつ,凄絶な試合に目を奪われる。,凄絶,せいぜつ,X,X
228,a音読み,B,溢水,いっすい,河川の溢水を食い止める。,溢水,いっすい,X,X
229,a音読み,B,播植,はしょく,そろそろ稲を播植する時期だ。,播植,はしょく,X,X
230,a音読み,B,鷹揚,おうよう,苦境にある時も鷹揚に構える。,鷹揚,おうよう,X,X
231,a音読み,B,揃刈,せんがい,庭師に生垣を揃刈してもらう。,揃刈,せんがい,X,X
232,a音読み,B,薬匙,やくし,薬匙は金銀ぞうげなどで製造した。,薬匙,やくし,X,X
233,a音読み,B,砧声,ちんせい,家々の砧声に耳を傾ける。,砧声,ちんせい,X,X
234,a音読み,B,串殺,せんさつ,人質を残らず串殺する。,串殺,せんさつ,X,X
235,a音読み,B,嚢中,のうちゅう,私の嚢中には一物もない。,嚢中,のうちゅう,X,X
236,a音読み,B,緑埜,りょくや,小高い丘から緑埜を眺める。,緑埜,りょくや,X,X
237,a音読み,B,清穆,せいぼく,民のため清穆の世が続くことを望む。,清穆,せいぼく,X,X
238,a音読み,B,蕩尽,とうじん,すべての財産を蕩尽した。,蕩尽,とうじん,X,X
239,a音読み,B,嘗試,しょうし,開発のための各社製品を嘗試する。,嘗試,しょうし,X,X
240,a音読み,B,揖拝,ゆうはい,上官に対して揖拝する。,揖拝,ゆうはい,X,X
241,a音読み,B,加餐,かさん,ご退院後もご加餐ください。,加餐,かさん,X,X
242,a音読み,B,呪術,じゅじゅつ,呪術に詳しい人に会った。,呪術,じゅじゅつ,X,X
243,a音読み,B,樗材,ちょざい,彼を樗材と決めつけてはならない。,樗材,ちょざい,X,X
244,a音読み,B,悶絶,もんぜつ,あまりの苦しみに悶絶した。,悶絶,もんぜつ,X,X
245,a音読み,B,芋粥,うしゅく,戦時中の飢えは芋粥でしのいだ。,芋粥,うしゅく,X,X
246,a音読み,B,堆朱,ついしゅ,美しい堆朱の椀に見とれる。,堆朱,ついしゅ,X,X
247,a音読み,B,烏鷺,うろ,烏鷺の争いが繰り広げられる。,烏鷺,うろ,X,X
248,a音読み,B,燦然,さんぜん,燦然と輝く宝石を見つめる。,燦然,さんぜん,X,X
